api_fixture_id,league,league_id,locked_at_utc,kickoff_utc,close_observed_at_utc,close_gap_minutes,home_team,away_team,bet_id,bet_name,open_p_1x,open_p_x2,open_p_12,close_p_1x,close_p_x2,close_p_12,move_1x_pp,move_x2_pp,move_12_pp,bet365_close_1x,bet365_close_x2,bet365_close_12,user_bookmaker,user_close_1x,user_close_x2,user_close_12,status,note
1557398,Premier League,39,2026-09-12T18:40:06Z,2026-09-12T14:00:00Z,2026-09-12T12:42:44Z,77.3,Bournemouth,Brentford,12,Double Chance,0.32414911,0.31118314,0.36466775,0.33035100,0.30832760,0.36132140,0.00620189,-0.00285554,-0.00334635,1.4,1.5,1.28,Marathonbet,1.47,1.57,1.32,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Double Chance triplet
1557403,Premier League,39,2026-09-12T18:40:06Z,2026-09-12T14:00:00Z,2026-09-12T12:42:44Z,77.3,Liverpool,Fulham,12,Double Chance,0.42291565,0.17224201,0.40484233,0.42076324,0.17986826,0.39936850,-0.00215241,0.00762625,-0.00547383,1.12,2.62,1.18,Marathonbet,1.17,2.53,1.22,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Double Chance triplet
1557399,Premier League,39,2026-09-12T18:40:06Z,2026-09-12T14:00:00Z,2026-09-12T12:42:44Z,77.3,Chelsea,Hull City,12,Double Chance,0.45280710,0.11886186,0.42833104,0.45280710,0.11886186,0.42833104,-0.00000000,0.00000000,-0.00000000,1.05,4.0,1.11,Marathonbet,1.05,4.15,1.13,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Double Chance triplet
1557401,Premier League,39,2026-09-12T18:40:06Z,2026-09-12T14:00:00Z,2026-09-12T12:42:44Z,77.3,Crystal Palace,Ipswich,12,Double Chance,0.37672584,0.24654832,0.37672584,0.37672584,0.24654832,0.37672584,-0.00000000,0.00000000,-0.00000000,1.25,1.91,1.25,Marathonbet,1.27,1.96,1.28,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Double Chance triplet
1557397,Premier League,39,2026-09-12T18:40:06Z,2026-09-12T14:00:00Z,2026-09-12T12:42:44Z,77.3,Aston Villa,Nottingham Forest,12,Double Chance,0.35467481,0.28246557,0.36285962,0.35123043,0.29753915,0.35123043,-0.00344438,0.01507358,-0.01162919,1.33,1.57,1.33,Marathonbet,1.36,1.68,1.35,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Double Chance triplet
1557406,Premier League,39,2026-09-12T18:40:06Z,2026-09-12T16:30:00Z,2026-09-12T12:42:44Z,227.3,Tottenham,Everton,12,Double Chance,0.36885246,0.26229508,0.36885246,0.36561586,0.25999350,0.37439064,-0.00323660,-0.00230158,0.00553818,1.28,1.8,1.25,Marathonbet,1.31,1.86,1.3,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Double Chance triplet
1570377,La Liga,140,2026-09-12T18:40:06Z,2026-09-12T14:15:00Z,2026-09-12T12:42:44Z,92.3,Osasuna,Espanyol,12,Double Chance,0.36932483,0.28307532,0.34759984,0.36253538,0.29092345,0.34654117,-0.00678945,0.00784813,-0.00105867,1.3,1.62,1.36,Marathonbet,1.32,1.69,1.39,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Double Chance triplet
1570373,La Liga,140,2026-09-12T18:40:06Z,2026-09-12T16:30:00Z,2026-09-12T12:42:44Z,227.3,Athletic Club,Elche,12,Double Chance,0.42877907,0.17151163,0.39970930,0.42877907,0.17151163,0.39970930,-0.00000000,-0.00000000,0.00000000,1.1,2.75,1.18,Marathonbet,1.1,2.97,1.2,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Double Chance triplet
1550119,Serie A,135,2026-09-12T18:40:06Z,2026-09-12T13:00:00Z,2026-09-12T12:42:44Z,17.3,Genoa,Frosinone,12,Double Chance,0.36827703,0.27729094,0.35443203,0.35448578,0.29102845,0.35448578,-0.01379125,0.01373751,0.00005375,1.33,1.62,1.33,Marathonbet,1.36,1.67,1.36,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Double Chance triplet
1550121,Serie A,135,2026-09-12T18:40:06Z,2026-09-12T16:00:00Z,2026-09-12T12:42:44Z,197.3,Lazio,AC Milan,12,Double Chance,0.29092345,0.36253538,0.34654117,0.28307532,0.36932483,0.34759984,-0.00784813,0.00678945,0.00105867,1.67,1.28,1.36,Marathonbet,1.75,1.29,1.38,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Double Chance triplet
1575161,Bundesliga,78,2026-09-12T18:40:06Z,2026-09-12T13:30:00Z,2026-09-12T12:42:44Z,47.3,SC Freiburg,Borussia Mönchengladbach,12,Double Chance,0.39491811,0.21674575,0.38833614,0.39744833,0.21813443,0.38441724,0.00253022,0.00138868,-0.00391890,1.18,2.15,1.22,Marathonbet,1.22,2.22,1.25,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Double Chance triplet
1575163,Bundesliga,78,2026-09-12T18:40:06Z,2026-09-12T13:30:00Z,2026-09-12T12:42:44Z,47.3,FSV Mainz 05,Eintracht Frankfurt,12,Double Chance,0.35870631,0.25906566,0.38222803,0.37514784,0.24047938,0.38437278,0.01644153,-0.01858628,0.00214475,1.25,1.95,1.22,Marathonbet,1.26,2.07,1.26,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Double Chance triplet
1575158,Bundesliga,78,2026-09-12T18:40:06Z,2026-09-12T13:30:00Z,2026-09-12T12:42:44Z,47.3,Borussia Dortmund,SC Paderborn 07,12,Double Chance,0.44690308,0.12632460,0.42677231,0.44870487,0.11890679,0.43238833,0.00180179,-0.00741781,0.00561602,1.06,4.0,1.1,Marathonbet,1.05,4.25,1.12,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Double Chance triplet
1575160,Bundesliga,78,2026-09-12T18:40:06Z,2026-09-12T13:30:00Z,2026-09-12T12:42:44Z,47.3,1899 Hoffenheim,VfB Stuttgart,12,Double Chance,0.32283836,0.29610652,0.38105512,0.32581602,0.28961424,0.38456973,0.00297766,-0.00649228,0.00351461,1.44,1.62,1.22,Marathonbet,1.49,1.65,1.27,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Double Chance triplet
1575162,Bundesliga,78,2026-09-12T18:40:06Z,2026-09-12T13:30:00Z,2026-09-12T12:42:44Z,47.3,FC Augsburg,Bayer Leverkusen,12,Double Chance,0.23828125,0.38085938,0.38085938,0.24428533,0.37326798,0.38244670,0.00600408,-0.00759140,0.00158732,1.91,1.25,1.22,Marathonbet,1.99,1.28,1.27,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Double Chance triplet
1575165,Bundesliga,78,2026-09-12T18:40:06Z,2026-09-12T16:30:00Z,2026-09-12T12:42:44Z,227.3,1. FC Köln,Werder Bremen,12,Double Chance,0.35300935,0.27138869,0.37560195,0.35300935,0.27138869,0.37560195,0.00000000,0.00000000,0.00000000,1.33,1.73,1.25,Marathonbet,1.35,1.78,1.3,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Double Chance triplet
1552764,Ligue 1,61,2026-09-12T18:40:06Z,2026-09-12T15:15:00Z,2026-09-12T12:42:44Z,152.3,Strasbourg,Monaco,12,Double Chance,0.28058825,0.34454586,0.37486590,0.27700831,0.34626039,0.37673130,-0.00357994,0.00171453,0.00186540,1.7,1.36,1.25,Marathonbet,1.8,1.35,1.28,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Double Chance triplet
1561924,Austrian Bundesliga,218,2026-09-12T18:40:06Z,2026-09-12T15:00:00Z,2026-09-12T12:42:44Z,137.3,SCR Altach,Grazer AK,12,Double Chance,0.35160946,0.28866702,0.35972352,0.36285962,0.28246557,0.35467481,0.01125016,-0.00620145,-0.00504871,1.3,1.67,1.33,Marathonbet,1.29,1.69,1.29,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Double Chance triplet
1561929,Austrian Bundesliga,218,2026-09-12T18:40:06Z,2026-09-12T17:30:00Z,2026-09-12T12:42:44Z,287.3,Wolfsberger AC,Rapid Vienna,12,Double Chance,0.22423229,0.39905746,0.37671025,0.22423229,0.39905746,0.37671025,-0.00000000,0.00000000,-0.00000000,2.1,1.18,1.25,Marathonbet,2.35,1.15,1.18,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Double Chance triplet
1558627,Belgian Pro League,144,2026-09-12T18:40:06Z,2026-09-12T14:00:00Z,2026-09-12T12:42:44Z,77.3,SK Beveren,St. Truiden,12,Double Chance,0.28469292,0.34958616,0.36572091,0.29743279,0.34335991,0.35920729,0.01273987,-0.00622625,-0.00651362,1.57,1.36,1.3,Marathonbet,1.6,1.36,1.29,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Double Chance triplet
1558628,Belgian Pro League,144,2026-09-12T18:40:06Z,2026-09-12T16:15:00Z,2026-09-12T12:42:44Z,212.3,KVC Westerlo,Standard Liege,12,Double Chance,0.31905679,0.31280077,0.36814244,0.31905679,0.31280077,0.36814244,-0.00000000,-0.00000000,0.00000000,1.5,1.53,1.3,Marathonbet,1.44,1.52,1.27,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Double Chance triplet
1552163,Eredivisie,88,2026-09-12T18:40:06Z,2026-09-12T14:30:00Z,2026-09-12T12:42:44Z,107.3,Twente,ADO Den Haag,12,Double Chance,0.44517591,0.12583639,0.42898770,0.44517591,0.12583639,0.42898770,0.00000000,0.00000000,-0.00000000,1.06,3.75,1.1,Marathonbet,1.03,3.98,1.09,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Double Chance triplet
1552164,Eredivisie,88,2026-09-12T18:40:06Z,2026-09-12T16:45:00Z,2026-09-12T12:42:44Z,242.3,GO Ahead Eagles,Groningen,12,Double Chance,0.33203414,0.28694308,0.38102278,0.33203414,0.28694308,0.38102278,-0.00000000,0.00000000,0.00000000,1.4,1.62,1.22,Marathonbet,1.43,1.58,1.24,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Double Chance triplet
1552165,Eredivisie,88,2026-09-12T18:40:06Z,2026-09-12T18:00:00Z,2026-09-12T12:42:44Z,317.3,Fortuna Sittard,Ajax,12,Double Chance,0.18058489,0.41502843,0.40438668,0.17224201,0.42291565,0.40484233,-0.00834288,0.00788722,0.00045565,2.75,1.12,1.17,Marathonbet,2.89,1.08,1.14,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Double Chance triplet
1494760,Eliteserien,103,2026-09-12T18:40:06Z,2026-09-12T14:00:00Z,2026-09-12T12:42:44Z,77.3,Lillestrom,Valerenga,12,Double Chance,0.37672584,0.24654832,0.37672584,0.37672584,0.24654832,0.37672584,-0.00000000,0.00000000,-0.00000000,1.25,1.91,1.25,Marathonbet,1.3,1.8,1.23,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Double Chance triplet
1494761,Eliteserien,103,2026-09-12T18:40:06Z,2026-09-12T16:00:00Z,2026-09-12T12:42:44Z,197.3,Rosenborg,Tromso,12,Double Chance,0.39905746,0.22423229,0.37671025,0.40521624,0.21550136,0.37928240,0.00615878,-0.00873093,0.00257215,1.17,2.2,1.25,Marathonbet,1.16,2.19,1.22,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Double Chance triplet
1553169,Ekstraklasa,106,2026-09-12T18:40:06Z,2026-09-12T12:45:00Z,2026-09-12T12:42:44Z,2.3,Slask Wroclaw,Korona Kielce,12,Double Chance,0.31971154,0.31971154,0.36057692,0.31971154,0.31971154,0.36057692,-0.00000000,-0.00000000,0.00000000,1.5,1.5,1.33,Marathonbet,1.5,1.41,1.29,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Double Chance triplet
1553164,Ekstraklasa,106,2026-09-12T18:40:06Z,2026-09-12T15:30:00Z,2026-09-12T12:42:44Z,167.3,Gornik Zabrze,Lech Poznan,12,Double Chance,0.30037960,0.33685427,0.36276613,0.30037960,0.33685427,0.36276613,0.00000000,-0.00000000,0.00000000,1.57,1.4,1.3,Marathonbet,1.57,1.37,1.27,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Double Chance triplet
1553172,Ekstraklasa,106,2026-09-12T18:40:06Z,2026-09-12T18:15:00Z,2026-09-12T12:42:44Z,332.3,Zaglebie Lubin,GKS Katowice,12,Double Chance,0.31971154,0.31971154,0.36057692,0.31971154,0.31971154,0.36057692,-0.00000000,-0.00000000,0.00000000,1.5,1.5,1.33,Marathonbet,1.45,1.45,1.29,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Double Chance triplet
1575498,Primeira Liga,94,2026-09-12T18:40:06Z,2026-09-12T14:30:00Z,2026-09-12T12:42:44Z,107.3,Nacional,Alverca,12,Double Chance,0.32178218,0.32178218,0.35643564,0.32597793,0.31293882,0.36108325,0.00419575,-0.00884336,0.00464761,1.44,1.5,1.3,Marathonbet,1.47,1.42,1.33,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Double Chance triplet
1575495,Primeira Liga,94,2026-09-12T18:40:06Z,2026-09-12T17:00:00Z,2026-09-12T12:42:44Z,257.3,Casa Pia,FC Porto,12,Double Chance,0.12680780,0.44861251,0.42457969,0.11886186,0.45280710,0.42833104,-0.00794594,0.00419459,0.00375135,4.0,1.05,1.11,Marathonbet,,,,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Double Chance triplet
1584406,Super Lig,203,2026-09-12T18:40:06Z,2026-09-12T14:00:00Z,2026-09-12T12:42:44Z,77.3,Eyüpspor,Rizespor,12,Double Chance,0.25017320,0.38226464,0.36756216,0.25017320,0.38226464,0.36756216,-0.00000000,0.00000000,-0.00000000,1.91,1.25,1.3,Marathonbet,1.92,1.21,1.26,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Double Chance triplet
1584411,Super Lig,203,2026-09-12T18:40:06Z,2026-09-12T14:00:00Z,2026-09-12T12:42:44Z,77.3,Samsunspor,Çorum FK,12,Double Chance,0.37095751,0.26379201,0.36525048,0.35249401,0.28706099,0.36044500,-0.01846350,0.02326898,-0.00480548,1.36,1.67,1.33,Marathonbet,1.31,1.65,1.31,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Double Chance triplet
1584410,Super Lig,203,2026-09-12T18:40:06Z,2026-09-12T17:00:00Z,2026-09-12T12:42:44Z,257.3,Konyaspor,Trabzonspor,12,Double Chance,0.26229508,0.36885246,0.36885246,0.27536670,0.35818376,0.36644954,0.01307162,-0.01066870,-0.00240292,1.73,1.33,1.3,Marathonbet,1.82,1.26,1.26,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Double Chance triplet
1584403,Super Lig,203,2026-09-12T18:40:06Z,2026-09-12T17:00:00Z,2026-09-12T12:42:44Z,257.3,Alanyaspor,Göztepe,12,Double Chance,0.34958616,0.28469292,0.36572091,0.34958616,0.28469292,0.36572091,0.00000000,0.00000000,0.00000000,1.36,1.67,1.3,Marathonbet,1.31,1.66,1.3,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Double Chance triplet
1557405,Premier League,39,2026-09-13T00:44:15Z,2026-09-12T19:00:00Z,2026-09-12T18:40:06Z,19.9,Sunderland,Arsenal,12,Double Chance,0.18085278,0.43075845,0.38838877,0.20434973,0.41964677,0.37600350,0.02349695,-0.01111168,-0.01238527,2.3,1.12,1.25,Marathonbet,2.41,1.13,1.28,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Double Chance triplet
1570379,La Liga,140,2026-09-13T00:44:15Z,2026-09-12T19:00:00Z,2026-09-12T18:40:06Z,19.9,Real Madrid,Rayo Vallecano,12,Double Chance,0.47097143,0.08006514,0.44896342,0.47293747,0.08039937,0.44666316,0.00196604,0.00033423,-0.00230026,1.02,6.0,1.08,Marathonbet,1.02,6.05,1.08,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Double Chance triplet
1550117,Serie A,135,2026-09-13T00:44:15Z,2026-09-12T18:45:00Z,2026-09-12T18:40:06Z,4.9,Atalanta,Cagliari,12,Double Chance,0.41580226,0.20247762,0.38172011,0.39892582,0.22767961,0.37339457,-0.01687644,0.02520199,-0.00832554,1.17,2.05,1.25,Marathonbet,1.18,2.21,1.3,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Double Chance triplet
1552761,Ligue 1,61,2026-09-13T00:44:15Z,2026-09-12T18:45:00Z,2026-09-12T18:40:06Z,4.9,Lorient,Toulouse,12,Double Chance,0.33059449,0.32141131,0.34799420,0.34347202,0.30530846,0.35121951,0.01287753,-0.01610285,0.00322531,1.36,1.53,1.33,Marathonbet,1.41,1.61,1.35,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Double Chance triplet
1552756,Ligue 1,61,2026-09-13T00:44:15Z,2026-09-12T18:45:00Z,2026-09-12T18:40:06Z,4.9,Auxerre,Nice,12,Double Chance,0.33059449,0.32141131,0.34799420,0.31257344,0.33490012,0.35252644,-0.01802105,0.01348881,0.00453224,1.5,1.4,1.33,Marathonbet,1.57,1.44,1.35,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Double Chance triplet
1552758,Ligue 1,61,2026-09-13T00:44:15Z,2026-09-12T18:45:00Z,2026-09-12T18:40:06Z,4.9,Le Havre,Angers,12,Double Chance,0.33752482,0.31502316,0.34745202,0.32865474,0.31550855,0.35583671,-0.00887008,0.00048539,0.00838469,1.44,1.5,1.33,Marathonbet,1.47,1.52,1.37,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Double Chance triplet
1552762,Ligue 1,61,2026-09-13T00:44:15Z,2026-09-12T18:45:00Z,2026-09-12T18:40:06Z,4.9,Paris FC,Lyon,12,Double Chance,0.31527094,0.31527094,0.36945813,0.31527094,0.31527094,0.36945813,-0.00000000,-0.00000000,-0.00000000,1.5,1.5,1.28,Marathonbet,1.53,1.54,1.3,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Double Chance triplet
1558629,Belgian Pro League,144,2026-09-13T00:44:15Z,2026-09-12T18:45:00Z,2026-09-12T18:40:06Z,4.9,OH Leuven,Cercle Brugge,12,Double Chance,0.31707317,0.31707317,0.36585366,0.31905679,0.31280077,0.36814244,0.00198362,-0.00427240,0.00228878,1.5,1.53,1.3,Marathonbet,1.45,1.51,1.27,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Double Chance triplet
1558630,Belgian Pro League,144,2026-09-13T00:44:15Z,2026-09-12T18:45:00Z,2026-09-12T18:40:06Z,4.9,Union St. Gilloise,Lommel United,12,Double Chance,0.45454545,0.11931818,0.42613636,0.45932205,0.11032216,0.43035579,0.00477660,-0.00899602,0.00421943,1.04,4.33,1.11,Marathonbet,1.01,4.55,1.08,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Double Chance triplet
1552168,Eredivisie,88,2026-09-13T00:44:15Z,2026-09-12T19:00:00Z,2026-09-12T18:40:06Z,19.9,Cambuur,NEC Nijmegen,12,Double Chance,0.19730185,0.40134907,0.40134907,0.20415225,0.39792388,0.39792388,0.00685040,-0.00342519,-0.00342519,2.3,1.18,1.18,Marathonbet,2.28,1.17,1.18,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Double Chance triplet
1575491,Primeira Liga,94,2026-09-13T00:44:15Z,2026-09-12T19:30:00Z,2026-09-12T18:40:06Z,49.9,Academico Viseu,Vitória SC,12,Double Chance,0.27156706,0.36703985,0.36139309,0.26361690,0.37960834,0.35677476,-0.00795016,0.01256849,-0.00461833,1.8,1.25,1.33,Marathonbet,1.75,1.24,1.31,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Double Chance triplet
