api_fixture_id,league,league_id,locked_at_utc,kickoff_utc,close_observed_at_utc,close_gap_minutes,home_team,away_team,open_p_yes,close_p_yes,movement_yes_pp,yes_close_watch,no_close_watch,bet365_close_yes,bet365_close_no,user_bookmaker,user_close_yes,user_close_no,yes_crossing_recorded,no_crossing_recorded,status,note
1550126,Serie A,135,2026-09-11T20:16:06Z,2026-09-11T18:45:00Z,2026-09-11T18:18:44Z,26.3,Venezia,Fiorentina,0.58900524,0.62500000,0.03599476,YES,NO,1.5,2.5,Marathonbet,1.49,2.44,YES,NO,OBSERVED_CLOSE,Latest Stage63 pre-kickoff snapshot; research only
1575158,Bundesliga,78,2026-09-12T14:14:21Z,2026-09-12T13:30:00Z,2026-09-12T10:14:39Z,195.3,Borussia Dortmund,SC Paderborn 07,0.54666667,0.53333333,-0.01333334,NO,NO,1.75,2.0,Marathonbet,1.71,2.02,NO,NO,OBSERVED_CLOSE,Latest Stage63 pre-kickoff snapshot; research only
1575160,Bundesliga,78,2026-09-12T14:14:21Z,2026-09-12T13:30:00Z,2026-09-12T10:14:39Z,195.3,1899 Hoffenheim,VfB Stuttgart,0.70960699,0.70960699,-0.00000000,NO,NO,1.33,3.25,Marathonbet,1.28,3.34,NO,NO,OBSERVED_CLOSE,Latest Stage63 pre-kickoff snapshot; research only
1575161,Bundesliga,78,2026-09-12T14:14:21Z,2026-09-12T13:30:00Z,2026-09-12T10:14:39Z,195.3,SC Freiburg,Borussia Mönchengladbach,0.58900524,0.58900524,-0.00000000,NO,NO,1.57,2.25,Marathonbet,1.55,2.29,NO,NO,OBSERVED_CLOSE,Latest Stage63 pre-kickoff snapshot; research only
1575162,Bundesliga,78,2026-09-12T14:14:21Z,2026-09-12T13:30:00Z,2026-09-12T10:14:39Z,195.3,FC Augsburg,Bayer Leverkusen,0.66265060,0.66265060,0.00000000,NO,NO,1.4,2.75,Marathonbet,1.39,2.76,NO,NO,OBSERVED_CLOSE,Latest Stage63 pre-kickoff snapshot; research only
1575163,Bundesliga,78,2026-09-12T14:14:21Z,2026-09-12T13:30:00Z,2026-09-12T10:14:39Z,195.3,FSV Mainz 05,Eintracht Frankfurt,0.64532020,0.64532020,-0.00000000,NO,NO,1.44,2.62,Marathonbet,1.43,2.62,NO,NO,OBSERVED_CLOSE,Latest Stage63 pre-kickoff snapshot; research only
1550121,Serie A,135,2026-09-12T16:15:34Z,2026-09-12T16:00:00Z,2026-09-12T14:14:21Z,105.7,Lazio,AC Milan,0.48000000,0.48000000,0.00000000,NO,NO,1.95,1.8,Marathonbet,1.89,1.81,NO,NO,OBSERVED_CLOSE,Latest Stage63 pre-kickoff snapshot; research only
1552764,Ligue 1,61,2026-09-12T16:15:34Z,2026-09-12T15:15:00Z,2026-09-12T14:14:21Z,60.6,Strasbourg,Monaco,0.62500000,0.62500000,0.00000000,NO,NO,1.5,2.5,Marathonbet,1.46,2.52,NO,NO,OBSERVED_CLOSE,Latest Stage63 pre-kickoff snapshot; research only
1570377,La Liga,140,2026-09-12T16:15:34Z,2026-09-12T14:15:00Z,2026-09-12T14:14:21Z,0.7,Osasuna,Espanyol,0.48000000,0.50000000,0.02000000,NO,NO,1.91,1.91,Marathonbet,1.89,1.81,NO,NO,OBSERVED_CLOSE,Latest Stage63 pre-kickoff snapshot; research only
1557406,Premier League,39,2026-09-12T18:17:03Z,2026-09-12T16:30:00Z,2026-09-12T16:15:34Z,14.4,Tottenham,Everton,0.53333333,0.57591623,0.04258290,YES,NO,1.62,2.2,Marathonbet,1.58,2.23,YES,NO,OBSERVED_CLOSE,Latest Stage63 pre-kickoff snapshot; research only
1570373,La Liga,140,2026-09-12T18:17:03Z,2026-09-12T16:30:00Z,2026-09-12T16:15:34Z,14.4,Athletic Club,Elche,0.48000000,0.48000000,0.00000000,NO,NO,1.95,1.8,Marathonbet,1.85,1.85,NO,NO,OBSERVED_CLOSE,Latest Stage63 pre-kickoff snapshot; research only
1575165,Bundesliga,78,2026-09-12T18:17:03Z,2026-09-12T16:30:00Z,2026-09-12T16:15:34Z,14.4,1. FC Köln,Werder Bremen,0.62500000,0.62500000,0.00000000,NO,NO,1.5,2.5,Marathonbet,1.46,2.52,NO,NO,OBSERVED_CLOSE,Latest Stage63 pre-kickoff snapshot; research only
